# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-4 -1 0 ffffff
-3 -1 0 ff0000
-2 -1 0 ff0000
-1 -1 0 ff0000
-4 -1 1 ffffff
-3 -1 1 ff0000
-2 -1 1 ff0000
-1 -1 1 ff0000
-4 -1 2 ffffff
-3 -1 2 ff0000
-2 -1 2 ff0000
-1 -1 2 ffffff
-4 -1 3 ffffff
-3 -1 3 ff0000
-2 -1 3 ff0000
-1 -1 3 ff0000
-4 -1 4 ffffff
-3 -1 4 ff0000
-2 -1 4 ff0000
-1 -1 4 ff0000
-4 0 0 ffffff
-3 0 0 ff0000
-2 0 0 ff0000
-1 0 0 ff0000
-4 1 0 ff0000
-3 1 0 ff0000
-2 1 0 ff0000
-1 1 0 ff0000
-4 2 0 ffffff
-3 2 0 ff0000
-2 2 0 ff0000
-1 2 0 ff0000
-4 3 0 ffffff
-3 3 0 ff0000
-2 3 0 ff0000
-1 3 0 ff0000
-4 0 1 ffffff
-3 0 1 ff0000
-2 0 1 ffffff
-1 0 1 ffffff
-4 1 1 ffffff
-3 1 1 ffffff
-2 1 1 ffffff
-1 1 1 ffffff
-4 2 1 ffffff
-3 2 1 ff0000
-2 2 1 ffffff
-1 2 1 ffffff
-4 3 1 ffffff
-3 3 1 ff0000
-2 3 1 ff0000
-1 3 1 ff0000
-4 0 2 ffffff
-3 0 2 ff0000
-2 0 2 ffffff
-1 0 2 ffffff
-4 1 2 ffffff
-3 1 2 ffffff
-2 1 2 ffffff
-1 1 2 ffffff
-4 2 2 ffffff
-3 2 2 ff0000
-2 2 2 ffffff
-1 2 2 ffffff
-4 3 2 ffffff
-3 3 2 ff0000
-2 3 2 ff0000
-1 3 2 ffffff
-4 0 3 ffffff
-3 0 3 ff0000
-2 0 3 ffffff
-1 0 3 ffffff
-4 1 3 ffffff
-3 1 3 ff0000
-2 1 3 ffffff
-1 1 3 ffffff
-4 2 3 ffffff
-3 2 3 ff0000
-2 2 3 ffffff
-1 2 3 ffffff
-4 3 3 ffffff
-3 3 3 ff0000
-2 3 3 ff0000
-1 3 3 ff0000
-4 0 4 ffffff
-3 0 4 ff0000
-2 0 4 ff0000
-1 0 4 ff0000
-4 1 4 ffffff
-3 1 4 ff0000
-2 1 4 ff0000
-1 1 4 ff0000
-4 2 4 ffffff
-3 2 4 ff0000
-2 2 4 ff0000
-1 2 4 ff0000
-4 3 4 ffffff
-3 3 4 ff0000
-2 3 4 ff0000
-1 3 4 ff0000
0 -1 0 ff0000
1 -1 0 ff0000
0 -1 1 ff0000
1 -1 1 ff0000
0 -1 2 ff0000
1 -1 2 ff0000
0 -1 3 ff0000
1 -1 3 ff0000
0 -1 4 ff0000
1 -1 4 ff0000
0 0 0 ff0000
1 0 0 ff0000
0 1 0 ff0000
1 1 0 ff0000
0 2 0 ff0000
1 2 0 ff0000
0 3 0 ff0000
1 3 0 ff0000
0 0 1 ffffff
1 0 1 ff0000
0 1 1 ffffff
1 1 1 ff0000
0 2 1 ffffff
1 2 1 ff0000
0 3 1 ff0000
1 3 1 ff0000
0 0 2 ffffff
1 0 2 ff0000
0 1 2 ffffff
1 1 2 ff0000
0 2 2 ffffff
1 2 2 ff0000
0 3 2 ff0000
1 3 2 ff0000
0 0 3 ffffff
1 0 3 ff0000
0 1 3 ffffff
1 1 3 ff0000
0 2 3 ffffff
1 2 3 ff0000
0 3 3 ff0000
1 3 3 ff0000
0 0 4 ff0000
1 0 4 ff0000
0 1 4 ff0000
1 1 4 ff0000
0 2 4 ff0000
1 2 4 ff0000
0 3 4 ff0000
1 3 4 ff0000
