# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 ff9000
0 0 1 ff9000
0 0 2 ff9000
0 0 3 ff9000
1 0 3 00ff00
2 0 3 00ff00
0 1 3 00ff00
1 1 3 00ff00
2 1 3 00ff00
0 2 3 00ff00
1 2 3 00ff00
2 2 3 00ff00
0 0 4 00ff00
1 0 4 00ff00
0 1 4 00ff00
1 1 4 00ff00
0 0 5 00ff00
-2 0 3 00ff00
-1 0 3 00ff00
-2 1 3 00ff00
-1 1 3 00ff00
-2 2 3 00ff00
-1 2 3 00ff00
-1 0 4 00ff00
-1 1 4 00ff00
0 -2 3 00ff00
1 -2 3 00ff00
2 -2 3 00ff00
0 -1 3 00ff00
1 -1 3 00ff00
2 -1 3 00ff00
0 -1 4 00ff00
1 -1 4 00ff00
-2 -2 3 00ff00
-1 -2 3 00ff00
-2 -1 3 00ff00
-1 -1 3 00ff00
-1 -1 4 00ff00
